player_level,position,pos_sorted,player_name,client_platform,player_level_display,is_guest,player_dnf,pnhl_online_game_type,team_id,team_side,opponent_club_id,opponent_team_id,opponent_score,score,rating_defense,rating_offense,rating_teamplay,toi,toi_seconds,skassists,skbs,skdeflections,skfol,skfopct,skfow,skgiveaways,skgoals,skgwg,skhits,skinterceptions,skpassattempts,skpasses,skpasspct,skpenaltiesdrawn,skpim,skpkclearzone,skplusmin,skpossession,skppg,sksaucerpasses,skshg,skshotattempts,skshotonnetpct,skshotpct,skshots,sktakeaways,glbrksavepct,glbrksaves,glbrkshots,gldsaves,glga,glgaa,glpensavepct,glpensaves,glpenshots,glpkclearzone,glpokechecks,glsavepct,glsaves,glshots,glsoperiods,points,faceoffs_total,faceoff_percentage,shots_missed,shooting_percentage,passes_missed,passing_percentage,goals_saved,save_percentage,major_penalties,minor_penalties,total_penalties,points_per_60,possession_per_minute,shot_efficiency,takeaway_giveaway_ratio,penalty_differential,defensive_actions_per_minute,offensive_impact,defensive_impact,detailed_position,position_abbreviation,game_impact_score,puck_management_rating,possession_efficiency,net_defensive_contribution,time_adjusted_rating,shot_generation_rate,offensive_zone_presence,two_way_rating,match_id,club_id,player_id,game_result,home_away
1,leftWing,4,MagikSaucyyy,ps5,239,0,0,5,501,1,40295,500,3,2,60.0,70.0,65.0,60,3600,1,0,0,0,0.0,0,2,0,0,2,4,22,18,81.82,0,0,0,-1,297,0,0,0,2,0.0,0.0,0,4,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,0,,2,,4,81.82,,,0,0,0,1.0,4.95,0.0,2.0,0,0.1,0.02,0.07,leftWing,LW,3.2,6.7,0.2,6,97.5,0.03,6.5,3.0,24308461110156,49949,1005198082170,loss,away
6,center,5,v Storto,xbsx,64,1,0,5,501,1,40295,500,3,2,75.0,75.0,65.0,60,3600,0,0,0,8,38.46,5,4,1,0,2,5,11,7,63.64,0,0,0,-1,151,0,0,0,3,66.67,50.0,2,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,13,38.46,1,50.0,4,63.64,,,0,0,0,1.0,2.52,33.33,0.75,0,0.08,0.05,0.02,center,C,5.7,4.2,0.4,4,107.5,0.05,3.7,2.8,24308461110156,49949,1007386598918,loss,away
15,defenseMen,2,Goldy I2I,xbsx,54,0,0,5,501,1,40295,500,3,2,70.0,75.0,65.0,60,3600,2,0,0,0,0.0,0,10,0,0,3,12,17,12,70.59,0,0,0,-1,243,0,1,0,2,50.0,0.0,1,7,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,1,0.0,5,70.59,,,0,0,0,2.0,4.05,0.0,0.7,0,0.17,0.04,0.0,leftDefense,LD,7.8,5.2,0.49,9,105.0,0.03,5.3,4.3,24308461110156,49949,1008369114066,loss,away
1,center,5,Arctic Blur,xbsx,28,1,0,5,501,1,40295,500,0,9,100.0,100.0,85.0,60,3600,4,1,0,12,53.85,14,14,3,0,2,9,29,20,68.97,0,0,0,7,259,2,4,0,5,60.0,100.0,3,5,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,7,26,53.85,2,100.0,9,68.97,,,0,0,0,7.0,4.32,60.0,0.36,0,0.13,0.19,-0.1,center,C,9.0,4.4,1.62,1,142.5,0.08,6.8,5.9,24298891930216,657,175590954,win,away
6,rightWing,3,BLong67-,ps5,299,1,0,5,501,1,40295,500,0,9,65.0,100.0,65.0,60,3600,5,0,1,0,0.0,0,15,2,0,5,2,18,8,44.44,0,0,0,7,288,0,0,0,7,100.0,28.57,7,2,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,7,0,,0,28.57,10,44.44,,,0,0,0,7.0,4.8,28.57,0.13,0,0.12,0.21,-0.13,rightWing,RW,10.0,2.0,1.46,-11,115.0,0.12,7.1,4.3,24298891930216,657,289617899,win,away
21,goalie,0,Bsavage28,ps5,127,0,0,5,501,1,40295,500,0,9,65.0,65.0,70.0,60,3597,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,1.0,9,9,0,0,0,,0,,0,,9.0,100.0,0,0,0,0.0,0.0,,,0,0.0,0.0,0.0,goalie,G,9.7,1.7,,0,100.0,0.0,0.0,1.2,24298891930216,657,1128544139,win,away
15,defenseMen,2,Nxuf,xbsx,83,1,0,5,501,1,40295,500,0,9,90.0,80.0,75.0,60,3600,1,1,0,0,0.0,0,1,0,0,5,0,12,8,66.67,1,0,0,7,85,0,0,0,10,50.0,0.0,5,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,1,0,,5,0.0,4,66.67,,,0,0,0,1.0,1.42,0.0,0.0,1,0.1,0.06,0.08,leftDefense,LD,6.9,2.2,0.71,0,122.5,0.17,4.0,2.4,24298891930216,657,1311513418,win,away
15,defenseMen,1,Kjnger,xbsx,48,0,0,5,501,1,40295,500,0,9,90.0,100.0,70.0,60,3600,2,0,0,0,0.0,0,6,0,0,3,5,29,25,86.21,1,0,0,7,327,0,2,0,2,0.0,0.0,0,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,2,0,,2,,4,86.21,,,0,0,0,2.0,5.45,0.0,0.5,1,0.1,0.03,0.0,rightDefense,RD,8.5,4.5,0.37,2,130.0,0.03,6.8,2.9,24298891930216,657,1718477402,win,away
1,leftWing,4,King Kapanen,xbsx,244,0,0,5,501,1,40295,500,0,9,85.0,100.0,45.0,58,3481,2,0,0,0,0.0,0,9,4,0,2,6,15,11,73.33,0,2,0,7,250,0,0,0,11,81.82,44.44,9,4,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,6,0,,2,44.44,4,73.33,,,0,1,1,6.21,4.31,36.36,0.44,-1,0.1,0.25,-0.05,leftWing,LW,9.4,4.2,1.44,1,115.0,0.19,7.1,5.8,24298891930216,657,1961098328,win,away
14,defenseMen,1,xDubz 17,xbsx,8,0,0,5,500,0,657,501,9,0,65.0,60.0,65.0,60,3600,0,1,0,0,0.0,0,8,0,0,1,10,16,12,75.0,0,0,0,-7,143,0,0,0,0,0.0,0.0,0,3,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,,0,,4,75.0,,,0,0,0,0.0,2.38,,0.38,0,0.08,0.0,-0.05,rightDefense,RD,5.7,4.8,0.0,6,95.0,0.0,3.2,2.5,24298891930216,40295,183909582,loss,home
